,Missing Activities,Unexpected Activities actual,Unexpected Activities expected,Wrong Orders
0,loss of taste and smell,feeling weak and having trouble breathing,,
1,debilitating fatigue,persistent symptoms after more than four months,,
2,persistent symptoms,,,
3,Symptoms identified as Covid-19,,,
4,Stress piling up,,,
5,contacting physician,,,
6,"bedridden:difficulty breathing, headache, conjunctivitis and more",,,
7,"heart racing, difficulty concentrating, stress",,,
8,identified as long-hauler,,,
9,experience long-term symptoms,,,
