,0,1,2,3
0,feeling weak and trouble breathing,starting to experience symptoms,experiencing difficulty concentrating,experiencing racing heartbeat
1,loss of taste and smell,starting to feel weak,,
2,debilitating fatigue,losing appetite,,
3,persistent symptoms,having a headache,,
4,Stress piling up,having conjunctivitis,,
5,contacting physician,having a sore throat,,
6,identified as long-hauler,having aches and pain,,
7,,losing ability to taste or smell,,
8,,experiencing debilitating fatigue,,
9,,symptoms not disappearing,,
