,Missing Activities,Unexpected Activities,Wrong Orders actual,Wrong Orders expected
0,informing family,consulting doctor for worsening symptoms,,
1,putting loved ones over financial worries,getting tested for Covid-19,,
2,experiencing worse symptoms,receiving first dose of vaccine,,
3,consulting family physician,,,
4,getting tested for covid 19 in local testing center,,,
5,testing positive for covid 19,,,
6,focusing on resting while isolated,,,
7,experiencing slow recovery,,,
8,returning to work with precautions,,,
9,getting vaccinated after consultation with doctor,,,
10,remainding optimistic and adhering to safety guidelines,,,
11,getting the second vaccination,,,
12,feeling thankful for healthcare personal,,,
